name,biography
محمد نادری,محمد نادری، مرد.
رفیع حالتی,"رفیع حالتی، در سال ۱۲۷۸ در تهران متولد شد و در سال ۱۳۶۰ در تهران درگذشت. او به‌عنوان بازیگر، کارگردان، مترجم و نویسنده فعالیت می‌کرد. از آثار او می‌توان به فیلم‌های ""امشب اشکی می‌ریزد""، ""دایره مینا""، ""فری دست‌قشنگ""، ""بی گناه""، ""غیرت""، ""خانه خراب""، ""فراشباشی""، ""مرد شب""، ""الکلی""، ""کلبه ای آنسوی رودخانه""، ""محلل""، ""مرد هزار لبخند""، ""معرکه""، ""رقاصه شهر""، ""قوز بالا قوز""، ""لیلی و مجنون""، ""بر آسمان نوشته""، ""بسترهای جداگانه""، ""دالاهو""، ""دختر طلا""، ""زیر گنبد کبود""، ""سوغات فرنگ""، ""طوفان نوح""، ""قهرمان شهر ما""، ""میلیونرهای گرسنه""، ""هفت شهر عشق""، ""شمسی پهلوان""، ""کلید بهشت""، ""مرد نامرئی""، ""مومیایی""، ""گنج قارون""، ""دروازه تقدیر""، ""مسیر رودخانه""، ""آقای قرن بیستم""، ""لاله آتشین""، ""پستچی""، ""گرگ صحرا""، ""عشق بزرگ""، ""آهنگ دهکده""، ""ستارگان می‌درخشند""، ""عروسک پشت پرده"" و ""برای تو"" اشاره نمود."
آذر فخر,"آذر فخر، متولد ۲۴ شهریور ۱۳۱۹ در بندر پهلوی، گیلان، بازیگر بود و در ۲۹ اسفند ۱۴۰۲ درگذشت. او در دهه‌های ۱۳۴۰ و ۱۳۵۰ فعالیت داشت. از آثار وی می‌توان به نمایش‌های ""افول""، ""ارثیهٔ ایرانی""، ""سرگذشت مرد خسیس""، ""فرفره‌ها""، ""سگی در خرمن جا""، ""تامارزوها""، ""ملاقات بانوی سالخورده""، ""مطبخ""، ""مرگ همسایه""، ""لبخند باشکوه آقای گیل""، ""کسب و کار خانم وارن""، ""آرامسایشگاه"" و تله‌تئاتر ""ارثیهٔ ایرانی"" اشاره کرد. همچنین در فیلم‌های ""تجاوز""، ""هزار بار مردن""، ""زلزله دوم""، ""گدای اشراف‌زاده""، ""قرنطینه""، مجموعه تلویزیونی ""طلاق"" و مجموعه تلویزیونی ""افسانه‌های کهن ایرانی"" نیز ایفای نقش کرده است."
فریبرز سمندرپور,"فریبرز سمندرپور، متولد ۱۳۲۸ در تهران، در سال ۱۳۸۸ درگذشت. او در دوره ۱۳۶۳ تا ۱۳۸۳ به عنوان بازیگر فعالیت می‌کرد. از آثار او می‌توان به فیلم‌های ""حریف دل""، ""لاک‌پشت""، ""شیرین و فرهاد""، ""مرد پنجم""، ""پاییز بلند""، ""جای امن""، ""لبه تیغ""، ""مستأجر""، ""انفجار در اتاق عمل""، ""دادستان""، ""پنجاه و سه نفر"" و ""مزدوران"" اشاره کرد. همچنین مجموعه‌های تلویزیونی ""تهران ۵۳""، ""۵۳ نفر""، ""نیمه پنهان ماه""، ""گمشده""، ""آتش و شبنم""، ""آبی مثل دریا""، ""شب چراغ""، ""جوان امروز"" و ""هنگامه"" از دیگر کارهای او هستند."
فقیهه سلطانی,"فقیهه سلطانی، بازیگر و کارگردان تئاتر، در ۲۹ اردیبهشت ۱۳۵۳ در همدان به دنیا آمد. از آثار او می‌توان به ""دورهمی""، ""آشوب""، ""مرگ نامهء سهراب""، ""جاودانگی""، ""شب شیشه‌ای""، ""جداافتاده""، ""دوشیزه""، ""صورتی""، ""نغمه""، ""عینک دودی""، ""معجزه خنده""، ""روسری آبی""، ""جادوگر""، ""فرشتگان بی بال""، ""یاور""، ""آدت نمی کنیم""، ""زخم""، ""مهمانان ویژه""، ""مثل شیشه""، ""تبریز در مه""، ""عمارت فرنگی""، ""نشانی""، ""قطار آن شب""، ""خواستگاران""، ""پاتوق""، ""روز رفتن""، ""بوی گل‌های وحشی""، ""آهوی ماه نهم""، ""پدر خاک""، ""آغوش‌های خالی""، ""میهمانی از بهشت""، ""طریق عشق""، ""سایه‌ها""، ""بی‌بی‌یون""، ""امام علی"" و ""اینجا آسمان همیشه بارانی است"" اشاره کرد."
مصطفی عبداللهی کلواری,"مصطفی عبداللهی کلواری، بازیگر تئاتر، کارگردان تئاتر، بازیگر تلویزیون، بازیگر سینما، بازیگر رادیو و مدرس تئاتر، در سال ۱۳۳۴ در بروجرد، لرستان به دنیا آمد و در تاریخ ۳۱ اردیبهشت ۱۳۹۴ در تهران درگذشت. او در دوره‌ی ۱۳۴۹ تا ۱۳۹۴ فعالیت هنری داشت. از جمله آثار او می‌توان به نمایش‌های ""زارع شیکاگو""، ""او بیگانه نبود""، ""مرشد و دلال‌ها""، ""پاتوق""، ""افعی طلائی""، ""یعقوب لیث""، ""آی با کلاه، آی بی کلاه""، ""سفر (ریل)""، ""اسب سفید""، ""خواب عوضی‌ها""، ""طلوع ماه""، ""خر با بار نمک""، ""چشم در برابر چشم""، ""سیاوش بر باد""، ""مرگ من مرثیه ندارد""، ""طرخون""، ""ضیافت""، ""سی زوئه بانسی مرده‌است""، ""سیزوئه بانسی مرده‌است""، ""بازرس""، ""خودکشی""، ""مده آ""، ""اتاق ۱۳""، ""شاه اسکوریال""، ""سوگ سیاوش""، ""داستان آدم""، ""اقلیما""، ""آخرین اسفندیار""، ""عاشقانه با پای برهنه""، ""با شب تا صبح""، ""و غربتت راهیچ شعری نسرود""، ""حماسه چله نشین""، ""دندان گراز""، ""مرد فرزانه ببر دیوانه""، ""بهرام چوبینه""، ""کبودان و اسفندیار""، ""هفت خوان رستم""، ""زنان صبرا، مردان شتیلا""، ""جنایات و مکافات""، ""گوریل پشمالو""، ""آرش""، ""خط عشق""، ""هفت قبیله گمشده""، ""باغ شبنما""، ""بیتوس بیچاره""، ""خاطرات هنرپیشه نقش دوم""، ""شرق بوسه""، ""عاقبت قلم فرسائی""، ""سه پرده""، ""کابوس سرخ""، ""جنگ در طبقه سوم""، ""چه کسی از ویرجینیا وولف می‌ترسد؟""، ""یادگار زریران""، ""از پشت شیشه‌ها""، ""باغ شکر پاره""، ""سوگ سیاوش""، ""دزدآب""، ""حکم""، ""اگر نرفته بودی""، ""انبوهی از هیچ‌کس""، ""مرگ تصادفی یک آنارشیست""، ""در اعماق""، سریال‌های تلویزیونی ""اغر بخیر""، ""ریشه در خاک""، ""پنجره ای رو به باغچه""، ""بر سر دو راهی""، ""هفتمین پیشوا""، ""بافته‌های رنج""، ""پهلوانان نمی‌میرند""، ""نمایش روز""، ""بوی خاک""، ""کوی دامون""، ""خاکستر و باد""، ""روشن تر از خاموشی""، ""مدار صفر درجه""، ""سرگشته""، ""معمای شاه""، فیلم‌های ""گلوگاه""، ""زلزله""، ""زندگی ابراهیم""، ""شاهد عینی""، ""ستاره خاموش""، ""مه بانو""، ""وجدان آشفته""، ""بی سلاح""، ""زندگی با حضور یک دیوار""، ""بی گدار"" و تله تئاترهای ""طالع عشق""، ""تابلوی تاریخی""، ""آخرین بازی"" و ""مهمانی درندگان"" اشاره کرد."
غلامرضا شهبازی,"غلامرضا شهبازی، در دوازدهم تیرماه سال ۱۳۵۲ در نهاوند، همدان به دنیا آمد. او بازیگر تئاتر، بازیگر تلویزیون، پژوهشگر، مترجم و استاد دانشگاه است. از آثار او می‌توان به ترجمه کتاب‌هایی چون ""تک گویی‌های کلاسیک برای مردان""، ""تئاتر و تماشاگر: به سوی نقش خلاق مخاطب در رویداد ادبی-تئاتری""، ""مده‌آ""، ""ماکیاوللی: هنر رعب و وحشت""، ""طنین صدای یک انسان""، ""زنان تروا""، ""تک گویی‌های کلاسیک برای زنان""، ""الکترا""، ""راهنمای عملی تئاتر ماسک"" اشاره کرد. همچنین در فیلم ""قفل یعنی کلید""، مجموعه تلویزیونی ""کارآگاهان"" و مجموعه تلویزیونی ""فاکتور هشت"" نیز نقش‌آفرینی داشته است."
سحر زکریا,"سحر زکریا، متولد ۲۸ آذر ۱۳۵۲ در اراک، در دهه ۱۳۷۰ به عنوان بازیگر فعالیت خود را آغاز کرد. از آثار شاخص او می‌توان به مجموعه‌های تلویزیونی ""در پناه تو""، ""قطار ابدی""، ""دنیای شیرین دریا""، ""کژدم ۳۳""، ""همسفر""، ""جوان امروز""، ""پرونده‌های مجهول""، ""باران عشق""، ""پاورچین""، ""او مثبت""، ""مروارید سرخ""، ""برای آخرین بار""، ""جاده در دست تعمیر""، ""مرد دوهزارچهره""، ""در حاشیه ۱""، ""در حاشیه ۲"" و ""زمانی برای خندیدن"" و فیلم‌های ""مردی از جنس بلور""، ""پسران مهتاب""، ""تله""، ""اگه می‌تونی منو بگیر""، ""زن دوم""، ""اگه می تونی منو بکش""، ""چیزی شبیه معجزه""، ""دلداده""، ""لج و لجبازی""، ""اسرار پدری""، ""زنان ونوسی، مردان مریخی""، ""درباره زندگی""، ""برج آرام""، ""واقعیت پوشالی"" و ""بازیوو"" و ""جانان"" اشاره کرد. همچنین او در مجموعه‌های نمایش خانگی ""قهوه تلخ""، ""شوخی کردم""، ""شام ایرانی""، ""دورهمی"" و ""سه شو"" نیز حضور داشته است. در بهمن ۱۳۹۹ وی به دلیل اعتراض به نخریدن واکسن کرونا ممنوع‌الفعالیت شد و در فروردین ۱۴۰۰ از عدم دریافت دستمزد خود برای بازی در سریال قهوه تلخ خبر داد. در جریان خیزش ۱۴۰۱ ایران کشف حجاب کرد و در آذر ۱۴۰۲ به همراه صبا کمالی و دانیال مقدم به دلیل انتشار ترانه حوری به دادگستری احضار شد."
حمیرا حسنی ریاضی,"حمیرا حسنی ریاضی، زادهٔ ۲۸ فروردین ۱۳۴۶ در تهران، بازیگر است. او در دهه‌های ۱۳۷۰ تا کنون فعالیت داشته است. از آثار وی می‌توان به فیلم‌های سینمایی ""شرفناز""، ""شیرین""، ""نغمه""، ""رنگ شب""، ""زیر پوست شهر""، ""مثلث آبی""، ""هفت سنگ"" و ""ساز ستاره"" و همچنین مجموعه‌های تلویزیونی ""جلال ۲""، ""جلال""، ""بوی باران""، ""وضعیت سفید""، ""کلانتر ۳""، ""حلقه سبز""، ""بچه‌های هور""، ""طلسم‌شدگان""، ""باران عشق""، ""نوعروس""، ""دختران""، ""کاشانه""، ""عید آن سال‌ها""، ""روزگار جوانی""، ""گل من گلی""، ""هفت‌سنگ""، ""آژانس دوستی""، ""پهلوانان نمی‌میرند""، ""بازی با مرگ"" و ""مزد ترس"" اشاره کرد. وی همچنین در نمایش‌های تئاتر ""اسفندیار""، ""مهرگیاه""، ""لیرشاه""، ""ایلیات""، ""چند و چون به چاه رفتن چوپان""، ""بهرام چوبینه"" و ""هانچو"" نیز حضور داشته است."
لاچین دربندی,"لاچین دربندی، بازیگر، در دوره ۱۳۸۸ تا کنون فعالیت داشته است. از آثار او می‌توان به ""سپید مثل ستاره""، ""گروگان""، ""برگ و باد""، ""رازها و دروغها""، ""مردمی که گریه نمی‌کنند""، ""خانه بی پرنده""، ""دربارهٔ اِل اِی""، ""ندارها""، ""انسان‌ها""، ""شب بلند ماه""، ""روزهای بد، به‌در"" و ""افسانه ماه و خورشید"" اشاره نمود."
مریم شیرازی,"مریم شیرازی، بازیگر و کارگردان، در ۳ مرداد ۱۳۵۶ در تهران متولد شد. از آثار او می‌توان به فیلم‌های ""ننه لالا و فرزندانش"" (۱۳۷۵)، ""من همسرش هستم"" (۱۳۹۰)، ""دلم می‌خواد"" (۱۳۹۲)، ""بهمن"" (۱۳۹۳)، ""یحیی سکوت نکرد"" (۱۳۹۳)، ""بنفشه آفریقایی"" (۱۳۹۶)، مجموعه‌های تلویزیونی ""سیب خنده"" (۱۳۷۶)، ""بدون شرح"" (۱۳۸۱)، ""سرزمین مادری"" (۱۳۸۷)، ""مسافران"" (۱۳۸۸)، ""نوار زرد"" (۱۳۹۶)، ""صفر بیست و یک"" (۱۳۹۹)، ""برف بی صدا می بارد"" (۱۴۰۰)، نمایش‌های خانگی ""سرگیجه"" (۱۴۰۱) و ""مردم معمولی"" (۱۴۰۰)، تله فیلم‌های ""راوی کوچک"" (۱۳۸۱) و ""امیدها و نجواها"" (۱۳۸۹)، تله تئاتر ""دوزن"" (۱۳۹۰)، و تئاترهای ""یه خونه یه چلچله"" (۱۳۷۶)، ""برخوان هفت خوان"" (۱۳۷۸)، ""باغ آلبالو"" (۱۳۸۱)، ""دکتر کنوک"" (۱۳۸۱)، ""نمایشنامه خوانی \""در خانه ام ایستاده بودم\"""" (۱۳۸۳)، ""پیکر زن همچون میدان نبرد"" (۱۳۸۵)، ""گفتگوهای پس از یک خاکسپاری"" (۱۳۸۷) و ""نامه‌هایی به تب"" (۱۳۹۹) اشاره کرد."
آهو خردمند,آهو خردمند، بازیگر و مترجم، در سال ۱۳۲۹ در تهران به دنیا آمد. از آثار شاخص او می‌توان به فیلم‌هایی چون «یتیم‌خانه ایران»، «میهمان داریم»، «آینه شمعدون»، «یک خانواده محترم»، «پرتقال خونی»، «قفس طلایی»، «قصه پریا»، «طاووس‌های بی‌پر»، «آتش سبز»، «زخم شانه حوا»، «همیشه پای یک زن در میان است»، «بچه‌های ابدی»، «گاهی واقعی»، «ستاره‌ها ۱: ستاره می‌شود»، «ما همه خوبیم»، «شهر زیبا»، «واکنش پنجم»، «دزد و نویسنده»، «پدربزرگ»، «سیاه راه»، «تفنگدار»، «دادشاه»، «عفریت»، «مرز»، «انفجار»، «پسر ایران از مادرش بی‌اطلاع است» و همچنین مجموعه‌های تلویزیونی «راه شیری (اپیزود پسر)»، «خانهٔ بی‌پرنده»، «مختارنامه»، «ملکوت»، «به کجا چنین شتابان»، «بهشت و بهار»، «یک مشت پر عقاب»، «سایه آفتاب»، «معصومیت از دست رفته»، «آژانس دوستی»، «لحظه»، «طلاق»، «گذر خلیل ده‌مرده»، «آدم و حوا» اشاره کرد. همچنین در تله‌فیلم‌هایی چون «مروارید»، «لحظهٔ دیدار»، «اگر باران ببارد»، «قاصدک روی شانه»، «آن‌سوی دیوار» و تله‌تئاتر «زمستان ۶۶» و «گل یاس» نیز ایفای نقش کرده است. او همچنین آثاری چون «پزشک نازنین»، «پسران آفتاب»، «اسباب‌بازی‌های زیرشیروانی»، «جشن سالگرد» و «خواهران خوب» را ترجمه کرده است.
پژمان جمشیدی,"پژمان جمشیدی، بازیگر و بازیکن سابق فوتبال، در ۲۰ خرداد ۱۳۵۶ در تهران متولد شد. او در آثار متعددی از جمله فیلم‌های ""استخر""، ""ذوق‌مرگ""، ""طهران ۵۷""، ""کلمبیا""، ""آنتیک""، ""دایناسور""، ""بی‌بدن""، ""تمساح خونی""، ""صبحانه با زرافه‌ها""، ""تگزاس ۳""، ""کوکتل مولوتوف""، ""هتل""، ""شهر هرت""، ""ویلای ساحلی""، ""یادگار جنوب""، ""سمفونی حمید""، ""بخارست""، ""بی‌مادر""، ""علفزار""، ""خانه ارواح""، ""شیشلیک""، ""کوسه""، ""هفته‌ای یک‌بار آدم باش""، ""خط فرضی""، ""خوب، بد، جلف ۲: ارتش سری""، ""دوزیست""، ""جهان با من برقص""، ""ایده اصلی""، ""تگزاس ۲""، ""دینامیت""، ""هزارتو""، ""ما همه با هم هستیم""، ""سوءتفاهم""، ""تگزاس""، ""لونه زنبور""، ""من دیوانه نیستم""، ""آذر""، ""خوب، بد، جلف""، ""۵۰ کیلو آلبالو""، ""من ناصر حجازی هستم…""، ""آتش‌بس ۲""، ""شرف خانواده فاضل"" و همچنین مجموعه‌های تلویزیونی ""زیرخاکی""، ""دیوار به دیوار ۲""، ""نفس""، ""دیوار به دیوار ۱""، ""سال‌های ابری""، ""پژمان""، ""ساختمان پزشکان"" و مجموعه‌های نمایش خانگی ""محکوم""، ""افعی تهران""، ""مگه تموم عمر چندتا بهاره""، ""آفتاب‌پرست""، ""آنتن""، ""خوب، بد، جلف: رادیواکتیو"" و نمایش‌های تئاتری ""بادی که تو را خشک کرد مرا برد""، ""آرسنیک و تور کهنه""، ""آرامسایش""، ""وقتی ما بر می‌گردیم دو پای آویزان باقی مانده است""، ""گنجفه""، ""پلیس""، ""پپرونی برای دیکتاتور""، ""بی نوایان""، ""الد سیبروک""، ""یادم تو را فراموش""، ""دوباره اون آهنگ رو بزن سّم""، ""حکومت نظامی""، ""پوست انداختن""، ""آن سوی آینه""، ""مادر"" و ""فرانکنشتاین"" و برنامه‌های ""جام ملت‌ها با پژمان جمشیدی""، ""پیش‌گو"" و ""کلاسیکو"" نقش‌آفرینی کرده است."
سید جواد یحیوی,"سید جواد یحیوی، مجری و بازیگر، در تاریخ سوم تیر ماه ۱۳۵۳ در کرج، استان البرز به دنیا آمد. از آثار شاخص او می‌توان به فیلم‌های ""دو روز دیرتر"" (۱۴۰۲)، ""عنکبوت"" (۱۳۹۸)، ""مهمانخانه ماه نو"" (۱۳۹۷)، ""مارموز"" (۱۳۹۷)، ""دنیا تنهایی کم ندارد"" (۱۳۹۷)، ""برادرم خسرو"" (۱۳۹۴)، ""رفقای خوب"" (۱۳۹۴)، ""عین شین قاف"" (۱۳۹۳)، ""خوابم می آد"" (۱۳۹۱)، ""به امید دیدار"" (۱۳۹۱)، ""متل قو"" (۱۳۹۱)، ""رستاخیز"" (۱۳۸۹)، ""باغ فردوس، پنج بعد از ظهر"" (۱۳۸۴)، ""سیندرلا"" (۱۳۸۰) و ""شوخی"" (۱۳۷۸)، سریال‌های تلویزیونی ""ترش و شیرین"" (۱۳۸۶) و ""بچه های خیابان"" (۱۳۸۲)، آثار نمایش خانگی ""رقص روی شیشه"" (۱۳۹۷)، ""گلشیفته"" (۱۳۹۶)، ""پیکسل"" (۱۳۹۶)، ""شاهگوش"" (۱۳۹۲) و ""قلب یخی ۲"" (۱۳۹۰) و نمایش‌های ""اهل هوا"" (۱۴۰۱)، ""تراس"" (۱۳۹۸)، ""ریش آبی"" (۱۳۹۷)، ""باشگاه مشت زنی"" (۱۳۹۷)، ""زمستان ۶۶"" (۱۳۹۵)، ""در اینجا"" (۱۳۹۵)، ""پسران آفتاب"" (۱۳۹۳)، ""هرکس با تنهایی اش"" (۱۳۹۳)، ""کشتی ۱۲۶"" (۱۳۹۱) و ""عشق اتفاقی نیست که بیفتد"" (۱۳۹۰) اشاره نمود."
نگین صدق‌گویا,"نگین صدق‌گویا، متولد ۸ اسفند ۱۳۴۹ در تهران، بازیگر است. از آثار او می‌توان به فیلم‌های ""تیک تاک"" (۱۳۷۱)، ""خلبان"" (۱۳۷۶)، ""زن امروز"" (۱۳۷۵)، ""عاشق فقیر"" (۱۳۷۴)، ""عبور از خط سرخ"" (۱۳۷۴)، ""بی‌قرار"" (۱۳۷۳)، ""انتخاب"" (۱۳۸۳)، ""رأی باز"" (۱۳۸۱)، ""واکنش پنجم"" (۱۳۸۱)، ""خواستگار محترم"" (۱۳۸۵)، ""ابراهیم خلیل‌الله"" (۱۳۸۴)، ""کاغذ دیواری زرد"" (۱۳۸۴)، ""مانا"" (۱۳۸۷)، ""زمانی برای دوست داشتن"" (۱۳۸۶)، ""دعوت"" (۱۳۸۷)، ""گافتاب"" (۱۳۹۹) و مجموعه‌های تلویزیونی ""تمام رخ"" (۱۴۰۱)، ""از سر نوشت (فصل ۴)"" (۱۴۰۱)، ""ساعت صفر"" (۱۳۹۴)، ""لبه آتش"" (۱۳۹۰)، ""به کجا چنین شتابان"" (۱۳۸۸)، ""بهشت و بهار"" (۱۳۸۷)، ""شکر تلخ"" (۱۳۸۵)، ""و خداوند عشق را آفرید"" (۱۳۸۴)، ""شبی از شب‌ها"" (۱۳۸۳)، ""آتش سرد"" (۱۳۸۲)، ""دیوار شیشه‌ای"" (۱۳۸۰)، ""همسفر"" (۱۳۷۹)، ""ایستگاه"" (۱۳۷۸)، ""شن‌های کف رودخانه"" (۱۳۷۶) و همچنین ""عالیجناب (رئالیتی شو)"" (۱۴۰۳) اشاره کرد. او در دوره ۱۳۷۱–اکنون فعالیت داشته است."
عطاءالله زاهد,"عطاءالله زاهد، در سال ۱۲۹۴ در شیراز، فارس به دنیا آمد و در تاریخ ۱۵ آبان ۱۳۷۰ در تهران، تهران درگذشت. او بازیگر، کارگردان، دوبلور و فیلم‌نامه‌نویس بود. از آثار او می‌توان به فیلم‌های ""ماجرای زندگی""، ""بوسه مادر""، ""بازگشت به زندگی""، ""چشم به راه""، ""راهی به سوی خدا""، ""مادیان""، ""سمندر""، ""طلسم""، ""اتاق یک""، ""شیر سنگی""، ""ماهی""، ""دوران سربی""، ""در مسیر تندباد""، ""برهوت""، ""عبور از غبار""، ""رانده شده""، ""آخرین مهلت""، ""عروس حلبچه""، ""دلشدگان"" و ""مدرسه پیرمردها"" و همچنین مجموعه‌های تلویزیونی ""این خانه دور است""، ""با سلسله حکمت""، ""بوعلی سینا""، ""طالب""، ""سربداران""، ""هزاردستان"" و ""الموت"" و نمایش‌های ""بزم بهرام گور"" و ""رستاخیز سلاطین"" اشاره نمود. دوره فعالیت او در دههٔ ۱۳۲۰ تا ۱۳۷۰ بود."
ترانه علیدوستی,"ترانه علیدوستی، در دهه ۱۳۸۰-اکنون، به‌عنوان بازیگر فعالیت می‌کرد. از آثار شاخص او می‌توان به فیلم‌هایی چون ""من، ترانه ۱۵ سال دارم"" (۱۳۸۰)، ""شهر زیبا"" (۱۳۸۲)، ""چهارشنبه سوری"" (۱۳۸۴)، ""کنعان"" (۱۳۸۶)، ""شیرین"" (۱۳۸۷)، ""تردید"" (۱۳۸۷)، ""درباره الی"" (۱۳۸۷)، ""زندگی با چشمان بسته"" (۱۳۸۸)، ""راز دشت تاران"" (۱۳۸۹)، ""هرچی خدا بخواد"" (۱۳۸۹)، ""انتهای خیابان هشتم"" (۱۳۸۹)، ""پذیرایی ساده"" (۱۳۹۰)، ""زندگی مشترک آقای محمودی و بانو"" (۱۳۹۱)، ""آسمان زرد کم عمق"" (۱۳۹۲)، ""مادر قلب اتمی"" (۱۳۹۳)، ""استراحت مطلق"" (۱۳۹۳)، ""فروشنده"" (۱۳۹۴)، ""اکو"" (۱۳۹۸)، ""اورکا"" (۱۴۰۰)، ""تفریق"" (۱۴۰۰)، ""برادران لیلا"" (۱۴۰۰) و سریال ""شهرزاد"" (۱۳۹۳) اشاره نمود. همچنین در مستند ""سمفونی حمید"" (۱۴۰۰) و پویانمایی ""جمشید و خورشید"" و نمایش‌های ""فنز""، ""مانیفست چو"" و ""روز حسین"" نیز نقش‌آفرینی کرده است. او در ۲۲ دی ماه ۱۳۶۲ در تهران متولد شد."
یونا تدین,"یونا تدین، که در تاریخ ۲۳ اسفند ۱۳۸۸ در تهران متولد شد، در دهه ۱۳۹۰ فعالیت می‌کرد و به‌عنوان بازیگر شناخته می‌شود. از آثار او می‌توان به ""نقطه کور"" (۱۳۹۴)، ""بچه مهندس"" (۱۳۹۷)، ""گسل"" (۱۳۹۶)، ""اتاق جادویی"" (۱۳۹۸)، ""قصر شیرین"" (۱۳۹۷) و ""قورباغه"" (۱۳۹۹) اشاره کرد."
بیژن بنفشه‌خواه,"بیژن بنفشه‌خواه، متولد نهم فروردین ماه ۱۳۵۲ در تهران، در دهه ۱۳۷۰ فعالیت خود را به عنوان بازیگر، کمدین و استندآپ کمدین آغاز کرد. از آثار وی می‌توان به فیلم‌هایی چون ""طهران ۵۷""، ""آنتیک""، ""تاکسی درمی""، ""معجزه پروین""، ""صبحانه با زرافه‌ها""، ""بانک زده‌ها""، ""گیج‌گاه""، ""والدین امانتی""، ""فصل ماهی سفید""، ""نارگیل۲""، ""کلوپ همسران""، ""جانان""، ""تخته گاز""، ""کاتیوشا""، ""ما خیلی باحالیم""، ""قهرمانان کوچک""، ""هشتگ""، ""دربست""، ""شرف خانواده فاضل""، ""وفا ۲۰۱۲""، ""از ما بهترون"" و ""رقص شیطان"" اشاره کرد. همچنین وی در مجموعه‌های تلویزیونی ""بگو بخند""، ""نون خ ۴""، ""مسابقه دورهمی""، ""مستوران""، ""پلاک ۱۳""، ""خود خواسته""، ""زندگی زیباست""، ""سرگذشت""، ""حکایت‌های کمال""، ""دنگ و فنگ روزگار""، ""شش قهرمان و نصفی""، ""محکومین""، ""لیسانسه‌ها""، ""شهرک جیم""، ""سه شو""، ""حالت خاص""، ""مسابقه ستاره بیست""، ""سربه‌راه""، ""دست نزن جیزه""، ""روزهای بد، به‌در""، ""پژمان""، ""دزد و پلیس""، ""سهمی برای دوست""، ""راه طولانی""، ""خانه اجاره‌ای""، ""ساختمان پزشکان""، ""مرد دوهزارچهره""، ""طلاق در وقت اضافه""، ""پیامک از دیار باقی""، ""آرزوهای شیرین""، ""تعطیلات پردردسر""، ""اکسیژن""، ""باغچه مینو""، ""زیر آسمان شهر - سری سوم""، ""بدون شرح""، ""طبقه وسط""، ""کلبه سپید""، ""آبدارشاه""، ""گل‌های ۷۸""، ""حرف تو حرف""، ""این چند نفر""، ""عید آن سال‌ها""، ""گل‌های ۷۷""، ""ایستگاه ۷۷""، ""گل‌های ۷۶""، ""نوروز ۷۶""، ""نوروز ۷۵""، ""دزدان مادربزرگ""، ""آخرین ستاره شب""، ""لبخند سوم""، ""همسران""، ""جُنگ ۳۹""، ""پسر بابا"" و ""پیک سپید شادی"" نیز به ایفای نقش پرداخته است. در زمینه نمایش خانگی نیز آثار ""نیسان آبی ۲""، ""دفتر یادداشت""، ""مهمونی""، ""تی‌ان‌تی""، ""ناتو""، ""مگه تموم عمر چندتا بهاره""، ""پدرخوانده""، ""جوکر""، ""جناب عالی""، ""شب‌های مافیا""، ""شوخی کردم""، ""شام ایرانی (سری چهارم)""، ""قهوه تلخ"" و ""بمب خنده"" از او منتشر شده است."
علی انصاریان,"علی انصاریان، متولد ۱۴ تیر ۱۳۵۶ در تهران، در ۱۵ بهمن ۱۳۹۹ در همین شهر به دلیل بیماری کرونا ویروس ۲۰۱۹ درگذشت. او به عنوان بازیکن فوتبال، بازیگر و مجری تلویزیون فعالیت می‌کرد. از آثار او می‌توان به فیلم‌های سینمایی ""بی پی ام بند""، ""دوش آخر""، ""هولیا""، ""بانک زده‌ها""، ""قطع فوری""، ""بعد از اتفاق""، ""کولبرف""، ""رمانتیسم عماد و طوبا""، ""کلوپ همسران""، ""اژدر""، ""قفل""، ""تصویرم در آینه نیست""، ""کاپیتان امیر""، ""فقط صدا می‌ماند""، ""چسب زخم""، ""بازگشته""، ""عشق و خیانت""، ""شهر من""، ""کتیبه""، ""حس خوب زندگی""، ""دو روز تا ماندن""، ""حکم تیر""، ""ثانیه""، ""شروع یک پایان""، ""یابانجی""، ""هدیه""، ""کلاف""، ""سوختن""، ""انتقال"" و ""پاداش سکوت"" و همچنین مجموعه‌های تلویزیونی ""سرزده""، ""۸۷ متر""، ""زندگی از نو""، ""محکومین""، ""دست پخت‌های خودمانی""، ""کیمیا""، ""خانه اجاره‌ای""، ""چارخونه""، ""غنچه‌های سحر""، ""نقطه چین"" و ""زیر آسمان شهر"" و آثار شبکه خانگی ""همرفیق""، ""شام ایرانی ۲"" و ""آسپرین"" اشاره کرد."
