,name,final_paragraph,images_clean
1443,محمدعلی رجایی,"محمدعلی رجایی، سیاستمدار و معلم ایرانی، در ۱۵ ژوئن ۱۹۳۳ در قزوین و در ۴ آگوست ۱۳۶۰ درگذشت. او در دوران جمهوری اسلامی ایران فعالیت می‌کرد.
در تصویر، فردی با لبخند دیده می‌شود. او دارای سبیل است و موهای کوتاه و تیره‌ای دارد. پوست صورت او روشن است و چشمانش به سمت چپ نگاه می‌کنند. او یک کت به رنگ قهوه‌ای به تن دارد و زیر آن یک لباس یقه‌دار پوشیده است. حالت چهره او آرام و دوستانه به نظر می‌رسد.",images_clean\Rjaee.png
1444,حاجعلی رزم‌آرا,"حاجعلی رزم‌آرا، یک مرد ایرانی بود که در ۱۹۰۱ در تهران متولد شد و در ۱۹۵۱ درگذشت. او در زمینه نظامی، سیاستمداری، سپهبدی و نخست‌وزیری فعالیت داشت و دوران زندگی و فعالیت او مربوط به ارتش شاهنشاهی بود.
این تصویر یک مرد با یونیفورم نظامی است. او موهای کوتاه و تیره دارد و سبیلی باریک و مرتب روی لب بالایی‌اش دیده می‌شود. چهره‌اش جدی و مصمم به نظر می‌رسد. یونیفورم او دارای تزئینات و مدال‌های متعددی است که نشان‌دهنده مقام یا افتخارات نظامی اوست. نگاهش به سمت دوربین نیست و به سمت دیگری نگاه می‌کند.",images_clean\Ali_razmara.png
1445,عباسعلی سلیمانی اسبوکلائی,"عباسعلی سلیمانی اسبوکلائی، یک روحانی ایرانی و فقیه، در ۲۵ مه ۱۹۴۷ در اسبوکلا به دنیا آمد و در ۲ ژوئن ۱۴۰۲ درگذشت. او در زمینه‌های روحانی، فقیهی و سیاسی فعالیت داشت.
این تصویر مردی مسن را نشان می‌دهد که عمامه‌ای سفید بر سر دارد. او ریش سفید و بلندی دارد که به چهره‌اش جلوه‌ای موقر و محترم می‌بخشد. ابروهای او پرپشت و چهره‌اش جدی به نظر می‌رسد. پوست صورتش کمی چروکیده است که نشانه‌ای از تجربه و سن بالای اوست. نگاه او به سمت پایین است و حالت چهره‌اش تفکر و تمرکز را نشان می‌دهد.",images_clean\%D8%B9%D8%A8%D8%A7%D8%B3%D8%B9%D9%84%DB%8C_%D8%B3%D9%84%DB%8C%D9%85%D8%A7%D9%86%DB%8C.png
1446,اسماعیل سیمیتقو,"اسماعیل سیمیتقو، یک مرد ایرانی، در سال ۱۸۸۷ در چهریق متولد شد و در ۴ مه ۱۹۳۰ درگذشت. او در زمینه Leadership فعالیت می‌کرد.
این تصویر یک مرد را نشان می‌دهد که چهره‌ای جدی و مصمم دارد. او دارای موهای بلند و تیره است که به سمت عقب شانه شده‌اند. ابروهای پرپشت و تیره‌ای دارد که به چهره‌اش حالتی قوی و مردانه می‌بخشند. چشمان او نافذ و متمرکز به نظر می‌رسند. بینی او برجسته و متناسب با چهره‌اش است. سبیل پرپشتی دارد که به خوبی مرتب شده است و به چهره‌اش جلوه‌ای کلاسیک می‌دهد. لباس او به نظر می‌رسد که از جنس پارچه‌ای سنگین باشد و حالتی رسمی دارد.",images_clean\%D8%A7%D8%B3%D9%85%D8%A7%D8%B9%DB%8C%D9%84_%D8%B3%D9%85%DB%8C%D8%AA%D9%82%D9%88_-_%D8%B1%D9%88%D8%B2%D9%86%D8%A7%D9%85%D.png | images_clean\Simko_Sikaki.png
1447,شاه اسماعیل دوم,"اسماعیل دوم، شاه ایرانی، در ۳۱ آگوست ۱۵۳۳ در قم به دنیا آمد و در ۴ مه ۱۵۷۷ درگذشت. او در دوران شاهی خود در ایران صفوی فعالیت داشت.
در این تصویر، فردی با لباس سنتی و تاریخی دیده می‌شود. او کلاهی بر سر دارد و موهایش بلند و به نظر می‌رسد که به صورت بافته شده است. چهره او با سبیل مشخص است و نگاهش به سمت پایین است. لباس او دارای جزئیات و طرح‌های خاصی است که نشان‌دهنده سبک پوشش تاریخی است. او در حالتی نشسته است و شمشیری در دست دارد که به کمربندش بسته شده است. رنگ‌های لباس و پس‌زمینه شامل ترکیبی از رنگ‌های گرم و ملایم است.",images_clean\Shah_Ismayil_I.png
1448,شهریار شفیق,"شهریار شفیق، یک مرد ایرانی، در ۱۵ مارس ۱۹۴۵ در قاهره متولد شد و در ۴ مه ۱۳۵۸ درگذشت. او در دوران شاهنشاهی ایران به عنوان افسر ارشد نیروی دریایی فعالیت می‌کرد.
این تصویر مردی را نشان می‌دهد که یونیفرم نظامی به تن دارد. او کلاهی سفید با نوار مشکی و نشان طلایی بر سر دارد. چهره‌اش با پوستی روشن و چشمانی بزرگ و تیره مشخص است. بینی او باریک و لب‌هایش نازک هستند. نگاهش به سمت چپ تصویر است و حالتی جدی و متمرکز دارد. موهای او زیر کلاه پنهان شده‌اند.",images_clean\Shahriar_Shafiq.png
1449,مرتضی‌قلی‌خان صنیع‌الدوله,"میرزای قلی خان سنایی الدوله، یک ایرانی بود که در ۷ فوریه ۱۸۵۶ در تهران به دنیا آمد و در ۲ ژوئن ۱۹۱۱ درگذشت. او در زمینه صنعتگری و به عنوان رئیس مجلس شورای ملی فعالیت داشت و این دوران زندگی و فعالیت او مربوط به قاجاریه بود.
این تصویر یک مرد مسن را نشان می‌دهد که کلاه بر سر دارد. او دارای سبیل و ریش کوتاه است. چهره‌اش به سمت چپ تصویر متمایل است و نگاهش به دوردست‌ها خیره شده است. او کت و شلوار رسمی به تن دارد و کراوات بسته است. حالت چهره‌اش جدی و متفکر به نظر می‌رسد.",images_clean\Photo_of_Mortez_Qholi_Khan_Hedayat_%28Sani-al-dowleh%29_the_First_Chairman_of_the_First_Majlis_Shora_Melli.png
1450,بهمن جوادی,"بهمن جوادی یک مرد ایرانی بود که در ۱۹۵۵ در نارک (گچساران) متولد شد و در ۱۹۸۹ درگذشت. او در زمینه فعال سیاسی، انقلابی و کمونیستی فعالیت داشت.
این تصویر مردی را نشان می‌دهد که موهای مشکی و مجعد دارد. او سبیل پرپشتی دارد که به چهره‌اش جلوه‌ای خاص می‌بخشد. ابروهای او نیز پرپشت و تیره هستند. چهره‌اش حالتی جدی دارد و او یک لباس ورزشی زرد رنگ با لوگوی آدیداس پوشیده است. پوست او رنگی متوسط دارد و به نظر می‌رسد در محیطی داخلی قرار دارد.",images_clean\Gholam_Keshavarz.png
1451,داریوش فروهر,"داریوش فروهر، سیاستمدار و وزیر کار و امور اجتماعی ایرانی، در ۱۸ آگوست ۱۹۲۸ در اصفهان و در ۲۱ نوامبر ۱۹۹۸ درگذشت. او در این roles فعالیت داشت و در ایران زندگی کرد.
این تصویر یک مرد مسن را نشان می‌دهد. او موهای خاکستری و نسبتاً کوتاهی دارد. چهره‌اش با سبیل پرپشتی که به خوبی مرتب شده، مشخص است. پوست صورت او صاف و چشمانش مهربان به نظر می‌رسند. لبخند ملایمی بر لب دارد که حس آرامش و دوستانه‌ای را منتقل می‌کند. نورپردازی تصویر به گونه‌ای است که جزئیات چهره به خوبی دیده می‌شود.",images_clean\Dariush_Forouhar_photo.png
1452,عبدالرحمان قاسملو,"عبدالرحمان قاسملو، یک ایرانی، در ۲۲ دسامبر ۱۹۳۰ در ارومیه به دنیا آمد و در ۱۳ ژوئیه ۱۹۸۹ درگذشت. او در زمینه فعالیت سیاسی، دبیرکل حزب دموکرات کردستان ایران و نمایندگی مردم استان آذربایجان غربی در مجلس خبرگان قانون اساسی فعالیت داشت.
این تصویر یک پرتره سیاه و سفید است. چهره فرد به صورت مستقیم به دوربین نگاه می‌کند. موهای او تیره و به سمت بالا شانه شده‌اند. ابروها پرپشت و تیره هستند. چشم‌ها به صورت مستقیم و جدی به نظر می‌رسند. بینی او متوسط و لب‌ها باریک هستند. پوست صورت روشن است و نور و سایه‌ها به صورت متضاد در تصویر دیده می‌شوند. حالت کلی چهره جدی و رسمی به نظر می‌رسد.",images_clean\Portrait_of_Abdul_Rahman_Ghassemlou_1940s.png
1453,یارمحمدخان کرمانشاهی,"یارمحمدخان کرمانشاهی، یک مرد ایرانی، در ۱۸۷۹ در کرمانشاه متولد شد و در سال ۱۹۱۲ درگذشت. او در دوران مشروطه، فعال مشروطه بود.
این تصویر قدیمی و سیاه و سفید است و سه نفر را نشان می‌دهد. دو نفر در جلو نشسته‌اند و یک نفر در پشت ایستاده است. هر دو نفر جلو کلاه‌های سنتی بر سر دارند و لباس‌های نظامی به تن کرده‌اند. هر دو سبیل‌های پرپشت دارند. نفر سمت چپ چهره‌ای گردتر دارد و نفر سمت راست چهره‌ای کشیده‌تر. هر دو نفر تفنگ‌هایی در دست دارند و به دور شانه‌هایشان فشنگ‌هایی بسته شده است. نفر پشت سر به وضوح دیده نمی‌شود. تصویر به دلیل قدیمی بودن کیفیت پایینی دارد و جزئیات چهره‌ها به سختی قابل تشخیص است.",images_clean\Yarmohamadkhan-e-kermanshahi.png
1454,سید احمد حکmAbادی تبریزی,"سید احمد حکمابادی تبریزی، تاریخ‌نگار، زبان‌شناس و اندیشمند ایرانی، در ۲۹ سپتامبر ۱۸۹۰ در تبریز و در ۳ نوامبر ۱۹۴۶ درگذشت. او در زمینه‌های مختلف فعالیت داشت، از جمله تاریخ مشروطه ایران، شهریاران گمنام، شیعی‌گری، زبان پاک، آذری یا زبان باستان آذربایجان.
این تصویر مردی را نشان می‌دهد که عینک گرد به چشم دارد. موهای او کوتاه و به رنگ روشن است. چهره‌اش جدی به نظر می‌رسد و خطوطی روی پیشانی‌اش دیده می‌شود. او کت و کراوات پوشیده است و نگاهش مستقیم به دوربین است. پوست صورتش روشن است و لب‌هایش به هم فشرده‌اند.",images_clean\Ahmad-Kasravi.png
1455,موسی کلانتری,"موسی کلانتری، یک سیاستمدار ایرانی بود که در ۱ ژانویه ۱۹۴۸ در مرند متولد شد و در ۴ مه ۱۳۶۰ درگذشت. او در دوران جمهوری اسلامی ایران، به عنوان وزیر راه و ترابری و مدیرکل راه و ترابری فعالیت می‌کرد.
این تصویر یک مرد را نشان می‌دهد. او ریش پرپشتی دارد و موهایش کوتاه و تیره است. چهره‌اش حالتی آرام و متفکر دارد. او یک پلیور یقه‌اسکی به تن دارد. نگاهش به سمت پایین است و نور تصویر به صورت سیاه و سفید است که به آن حالتی کلاسیک داده است.",images_clean\Mosa_Kalantari.png
1456,صدیق کمانگر,"صدیق کمانگر، یک فعال سیاسی و کمونیست ایرانی بود که در ۱۹۴۶ در کامیاران متولد شد و در ۱۹۸۹ درگذشت. او در زمینه فعال سیاسی، کمونیستی، وکیل دادگستری، سخنگو و مسئول رادیو فعالیت داشت و از جمله مسئولیت‌های او می‌توان به حزب کومله، حزب کمونیست ایران و رادیو صدای انقلاب ایران اشاره کرد.
این تصویر یک مرد را از نمای نیم‌رخ نشان می‌دهد. او موهای تیره و مجعد دارد که به سمت عقب شانه شده‌اند. پوست صورت او تیره است و سبیل پرپشتی دارد. او پیراهنی با یقه باز پوشیده و در محیطی به نظر می‌رسد که چوبی است. زاویه تصویر به گونه‌ای است که تمرکز بر روی نیم‌رخ و جزئیات چهره اوست.",images_clean\Sedigh.Kamangar.png
1457,سید اسدالله لاجوردی,"سید اسدالله لاجوردی، رئیس پیشین زندان اوین و دادستان انقلاب تهران، در ۱ ژانویه ۱۹۳۵ در تهران به دنیا آمد و در ۴ مه ۱۳۷۷ درگذشت. او در دهه شصت فعالیت خود را در زمینه رئیس پیشین زندان اوین، دادستان انقلاب تهران، رئیس سازمان زندان‌ها و اقدامات تأمینی و تربیتی انجام داد.
این تصویر یک مرد را نشان می‌دهد. او عینک بزرگی به چشم دارد که قاب ضخیمی دارد. موهای او کوتاه و به سمت عقب شانه شده است. صورت او دارای ریش و سبیل کوتاهی است. چهره‌اش جدی به نظر می‌رسد و او کت و پیراهنی پوشیده است. تصویر به صورت سیاه و سفید است و کیفیت قدیمی دارد.",images_clean\Assadollah_Lajevardi_-_1980_election_ad.png
1458,محمدحسن‌خان قاجار,"محمدحسن‌خان قاجار، یک ایرانی بود که در ۱۷۲۲ در گرگان متولد شد و در ۱۷۵۹ درگذشت. او در دوران قاجاریان، سرکردگی ایل قاجار را انجام داد.
این تصویر یک فرد با لباس سنتی و کلاه است. چهره او دارای ریش بلندی است. لباس او با تزئینات و جواهرات زیادی پوشیده شده است. کلاه او نیز دارای طرح‌ها و جزئیات خاصی است. تصویر به صورت سیاه و سفید است و جزئیات چهره به وضوح مشخص نیست.",images_clean\Maom%C3%A9_Ha%C3%A7ane_C%C3%A3_Cajar.png
1459,شاپور مرحبا,"شاپور مرحبا، یک سیاستمدار ایرانی است که در ۱۹۵۷ در آستارا متولد شد و در اوایل انقلاب اسلامی به عنوان نماینده مجلس فعالیت می‌کند.
این تصویر مردی را نشان می‌دهد که موهای کوتاه و خاکستری دارد. او ریشی پرپشت و مرتب دارد که به رنگ خاکستری و مشکی است. چهره‌اش جدی و آرام به نظر می‌رسد. ابروهای او پرپشت و چشمانش عمیق و متفکر به نظر می‌رسند. او کت و شلواری رسمی به تن دارد و پیراهن سفید زیر آن پوشیده است. پوست صورتش روشن است و خطوطی از تجربه و سن بر روی چهره‌اش دیده می‌شود.",images_clean\%D8%B4%D8%A7%D9%BE%D9%88%D8%B1_%D9%85%D8%B1%D8%AD%D8%A8%D8%A7.png
1460,محمد علی منتظری,"محمد علی منتظری، یک روحانی ایرانی و سیاست‌مدار، در ۱۹۴۴ در نجف‌آباد متولد شد و در ۱۳۶۰ درگذشت. او در دوران انقلاب اسلامی به عنوان زندانی سیاسی، نماینده مجلس و سیاست‌مدار فعالیت داشت.
در تصویر، چند نفر دیده می‌شوند که لباس‌های سنتی و مذهبی به تن دارند. فردی که در ردیف جلو و پایین قرار دارد، جوانی با موهای کوتاه و تیره است. او یک کت چهارخانه به تن دارد و به سمت چپ نگاه می‌کند.

در ردیف بالاتر، دو نفر با عینک دیده می‌شوند. یکی از آن‌ها ریش بلندی دارد و عینک آفتابی زده است. دیگری عینک طبی به چشم دارد و عمامه سفید بر سر دارد. هر دو نفر لباسی تیره به تن دارند.

در بالاترین ردیف، فردی با عمامه سفید و ریش سفید دیده می‌شود که به سمت راست نگاه می‌کند. او نیز لباسی تیره به تن دارد. 

این تصویر به نظر می‌رسد در یک مکان عمومی یا مراسم گرفته شده باشد.",images_clean\Mohammad_montazeri_%26father.png
1461,حسنعلی منصور,"حسنعلی منصور، یک سیاستمدار ایرانی بود که در ۱۳ آوریل ۱۹۲۳ در تهران به دنیا آمد و در ۴ مه ۱۳۴۳ درگذشت. او در طول زندگی خود در زمینه‌های مختلف سیاسی، از جمله نخست‌وزیر، کارمند وزارت امور خارجه، دیپلمات، ریاست شورای عالی اقتصاد و وزیر کار فعالیت داشت. این فعالیت‌ها در دوره پهلوی رخ داد.
در تصویر، فردی با کت و شلوار رسمی دیده می‌شود. او موهای کوتاه و تیره دارد و چهره‌اش جدی به نظر می‌رسد. دست‌هایش را به هم قفل کرده و روی میز یا سطحی قرار داده است. نگاهش مستقیم به دوربین است و حالتی آرام و متفکرانه دارد. نورپردازی تصویر به گونه‌ای است که جزئیات چهره به خوبی مشخص است.",images_clean\Hassan_Ali_Mansur.png
1462,میر اسدالله مدنی دهخوارقانی,"میر اسدالله مدنی دهخوارقانی، یک روحانی و مجتهد شیعه ایرانی بود که در آذرشهر در سال ۱۹۱۴ متولد شد و در ۱۱ سپتامبر ۱۹۸۱ درگذشت. او در دوران جمهوری اسلامی ایران به عنوان نماینده مجلس خبرگان، امام جمعه و در زمینه روحانی فعالیت داشت.
متاسفانه در این تصویر چهره‌ای از فردی دیده نمی‌شود. تصویر شامل نوشته‌ها و سنگ‌های تزئینی است. اگر تصویر دیگری دارید که چهره فرد در آن مشخص است، می‌توانید آن را ارسال کنید تا توصیف کنم.",images_clean\Mir_Madani.png
1463,ناصرالدین‌شاه قاجار,"ناصرالدین‌شاه قاجار، یک مرد ایرانی بود که در ۱۶ ژوئیه ۱۸۳۱ در تبریز متولد شد و در ۴ مه ۱۸۹۶ درگذشت. او در زمینه شاه فعالیت داشت و دوران زندگی و فعالیت او مربوط به قاجار بود.
در این تصویر، فردی با لباس رسمی و سنتی دیده می‌شود. او کلاهی بر سر دارد و سبیل‌های پرپشتی دارد که به سمت بالا تابیده شده‌اند. چهره‌اش جدی و مصمم به نظر می‌رسد. او لباسی با تزئینات و نشان‌های متعدد بر تن دارد و کمربندی با جزئیات خاص به کمر بسته است. دست راستش روی یک شمشیر قرار دارد و حالت ایستاده‌ای دارد که نشان‌دهنده وقار و قدرت است.",images_clean\Naser-al-Din-Shah-Qajar-3.png
1464,ابوعلی حسن بن علی طوسی,"ابوعلی حسن بن علی طوسی، یک مرد ایرانی، در ۴ اکتبر ۱۰۱۸ در توس متولد شد و در ۴ مه ۱۰۹۲ درگذشت. او در دوران سلجوقیان به عنوان وزیر فعالیت می‌کرد و سیاست‌نامه را به عنوان یکی از مسئولیت‌های خود انجام داد.
این تصویر شامل دو سکه قدیمی است که هر دو دارای نوشته‌ها و نقوشی هستند. سکه‌ها به رنگ طلایی بوده و دارای حاشیه‌هایی با نوشته‌های عربی هستند. جزئیات روی سکه‌ها شامل خطوط و اشکال هندسی است. به دلیل ماهیت سکه‌ها، چهره‌ای از فردی در تصویر قابل مشاهده نیست.",images_clean\Dinar_of_Muhammad_Alp_Arslan%2C_AH_455-465.png
1465,کاظم رجوی,"کاظم رجوی، یک ایرانی، در ۲ آگوست ۱۹۳۴ در طبس به دنیا آمد و در ۲۴ آوریل ۱۹۹۰ درگذشت. او در زمینه عضو شورای ملی مقاومت ایران فعالیت داشت.
فردی که در تصویر دیده می‌شود، عینک به چشم دارد و موهای خاکستری و نسبتاً پرپشتی دارد. او هدفونی روی گوش خود دارد و لباس رسمی شامل کت و کراوات پوشیده است. چهره‌اش جدی به نظر می‌رسد و در حال نگاه کردن به جلو است. پوست صورت او روشن است و خطوط چهره‌اش نشان‌دهنده سن بالاتری است.",images_clean\Kazem_rajavi.png
1466,عبدالحسین هژیر,"عبدالحسین هژیر، سیاستمدار ایرانی و نخست‌وزیر، در ۱۸۹۹ در تهران متولد شد و در ۱۱ مه ۱۹۴۹ درگذشت. او در دوران حکومت رضاشاه فعالیت می‌کرد.
این تصویر یک مرد را نشان می‌دهد که عینک آفتابی به چشم دارد. موهای او تیره و به سمت بالا شانه شده‌اند. او کت و شلوار رسمی به تن دارد و کراواتی با طرح‌های کوچک بسته است. چهره‌اش جدی به نظر می‌رسد و نور و سایه در تصویر به صورت سیاه و سفید است.",images_clean\Hazhir.png
1467,سعید امامی,"سعید امامی، یک مرد ایرانی، در ۱۴ ژانویه ۱۹۵۸ در شیراز به دنیا آمد و در ۱۹ ژوئن ۱۹۹۹ درگذشت. او در دوران فعالیت خود در دهه ۱۹۹۰ به عنوان معاون وزیر در زمینه مامور اطلاعات فعالیت داشت.
در این تصویر، فردی با عینک دیده می‌شود. او ریش کوتاهی دارد و موهایش تیره است. چهره‌اش به سمت چپ تصویر متمایل است و به نظر می‌رسد در حال صحبت کردن است، زیرا میکروفونی در جلوی او قرار دارد. لباس رسمی به تن دارد و پس‌زمینه تصویر به رنگ‌های گرم است.",images_clean\Saeid_emami.png
1468,محمدولی خان خلعتبری,"محمدولی خان خلعتبری، سیاستمدار و رهبر نظامی ایرانی، در ۴ ژانویه ۱۸۴۷ در تنکابن متولد شد و در ۱ ژانویه ۱۹۲۶ درگذشت. او در دوران قاجاریان فعالیت داشت.
این تصویر یک مرد با لباس رسمی و تاریخی را نشان می‌دهد. او کلاهی بر سر دارد و لباسش با جزئیات و تزئینات پیچیده‌ای طراحی شده است. چهره‌اش دارای سبیل پرپشتی است و موهایش کوتاه و مرتب به نظر می‌رسد. حالت چهره‌اش جدی و رسمی است و نگاهش مستقیم به دوربین است. لباس او شامل یک کمربند و نشان‌های افتخار است که به لباسش جلوه‌ای خاص داده‌اند.",images_clean\Sepahsalar-e_Azam-e_Tonekaboni.png
1469,ناصر یگانه,"ناصر یگانه، حقوقدان و سیاستمدار ایرانی، در ۶ آوریل ۱۹۲۱ در قزوین به دنیا آمد و در ۱۵ نوامبر ۱۹۹۳ درگذشت. او در طول زندگی خود به عنوان رئیس دیوان عالی کشور، نماینده مجلس شواری ملی، نماینده سنا، وزیر مشاور و معاون پارلمانی نخست‌وزیر فعالیت می‌کرد.
این تصویر یک مرد جوان را نشان می‌دهد. او موهای کوتاه و تیره دارد که به سمت عقب شانه شده‌اند. چهره‌اش باریک و کشیده است. ابروهای او پرپشت و تیره هستند و چشمانش به سمت دوربین نگاه می‌کنند. بینی او باریک و لب‌هایش نازک هستند. او یک کت و کراوات پوشیده است که نشان‌دهنده‌ی یک ظاهر رسمی است. پوست او روشن به نظر می‌رسد. تصویر به صورت سیاه و سفید است و حالتی قدیمی دارد.",images_clean\Nasser_Yeganeh2.png
1470,غلامعلی جعفرزاده ایمن‌آبادی,"غلامعلی جعفرزاده ایمن‌آبادی، یک سیاستمدار ایرانی است که در رشت متولد شد. او در این زمینه از سال ۱۹۶۶ به عنوان نماینده مجلس، رئیس بنیاد شهید و امور ایثارگران فعالیت می‌کند. او در دوران جمهوری اسلامی ایران زندگی و فعالیت می‌کند.
متاسفانه نمی‌توانم چهره فرد را توصیف کنم. اگر اطلاعات دیگری نیاز دارید، خوشحال می‌شوم کمک کنم.",images_clean\Gholam_Ali_Jafarzadeh_October_2016.png
1471,سعید جلیلی,"ساعد جلیلی یک مرد ایرانی است که در ۹ ژوئن ۱۹۶۵ در مشهد متولد شد و در زمینه سیاستمدار و دیپلمات فعالیت می‌کند.
این فرد دارای موهای سفید و کوتاه است. او عینک به چشم دارد و ریش و سبیل خاکستری دارد. پوست صورت او روشن است و لبخند ملایمی بر لب دارد. او کت و پیراهنی با یقه بسته به تن دارد. چهره‌اش آرام و متفکر به نظر می‌رسد.",images_clean\Saeed_Jalili_2021_%28cropped%29.png
1472,سعید حجاریان کاشانی,"سعید حجاریان کاشانی، فعال سیاسی و تئوریسین ایرانی، در ۱ ژانویه ۱۹۵۴ در تهران به دنیا آمد. او در حال حاضر در زمینه فعال امنیتی سابق و فعال سیاسی کنونی فعالیت می‌کند.
متاسفم، نمی‌توانم بگویم این شخص کیست. اما می‌توانم چهره او را توصیف کنم. این فرد عینک به چشم دارد و موهای کوتاه و خاکستری دارد. صورت او گرد است و ریش کوتاهی دارد. او پیراهنی به رنگ خاکستری پوشیده است.",images_clean\Saeed_Hajjarian_1394.png
1473,سید علی خامنه‌ای,"سید علی خامنه‌ای، یک ایرانی و روحانی، در ۱۹ آوریل ۱۹۳۹ در مشهد متولد شد و در زمینه سیاست وLeadership فعالیت می‌کند. او از سال ۱۹۷۹ به عنوان امام جمعه تهران و مرجع تقلید شیعه دوازدهم فعالیت می‌کند و در این دوره، رئیس‌جمهور ایران نیز بوده است. او در دوران جمهوری اسلامی ایران فعالیت می‌کند.
متاسفم، نمی‌توانم چهره افراد را توصیف کنم.",images_clean\Khamenei_2023.png
1474,سید علی‌اکبر محتشمی‌پور,"سید علی‌اکبر محتشمی‌پور، یک ایرانی و روحانی و سیاستمدار بود که در ۱ ژانویه ۱۹۴۷ در تهران متولد شد و در ۶ ژوئیه ۲۰۲۱ درگذشت. او در دوران جمهوری اسلامی ایران، به عنوان وزیر کشور، نماینده مجلس و بنیان‌گذار حزب‌الله لبنان فعالیت داشت. او همچنین دبیرکل کنفرانس بین‌المللی پشتیبانی از فلسطین را برعهده داشت.
این تصویر مردی را نشان می‌دهد که عینک به چشم دارد و ریش خاکستری دارد. او عمامه‌ای مشکی بر سر دارد و لباسی رسمی به تن کرده است. چهره‌اش آرام و متفکر به نظر می‌رسد و لبخند ملایمی بر لب دارد. پوست صورتش روشن است و در پس‌زمینه، اعدادی روی دیوار دیده می‌شود.",images_clean\Ali_Akbar_Mohtashamipur.png
1475,لطف‌الله میثمی,"لطف‌الله میثمی یک مرد ایرانی است که در ۱۳۳۸ در اصفهان متولد شد و در زمینه فعال سیاسی، مدیر مسئول و عضو شورای فعالان ملی مذهبی فعالیت می‌کند. او در این زمینه از جمله مسئولیت‌های خود نشریه چشم‌انداز ایران را بر عهده داشته است.
این تصویر مردی را نشان می‌دهد که چشمانش بسته است. او موهای خاکستری و کوتاهی دارد. پوست صورتش روشن است و خطوطی روی پیشانی و اطراف دهانش دیده می‌شود. او کت آبی رنگی به تن دارد و پیراهنی به رنگ آبی روشن زیر آن پوشیده است. حالت چهره‌اش به نظر می‌رسد که در حال فکر کردن یا تمرکز است.",images_clean\Photo_taken_during_Iranian_oral_history_project_by_Hossein_Dehbashi_uploaded_by_Mardetanha_%2812%29.png
1476,اسفندیار رحیم مشایی,"اسفندیار رحیم مشایی، یک سیاستمدار ایرانی، در ۱۶ نوامبر ۱۹۶۰ در رامسر متولد شد و در دوران جمهوری اسلامی ایران فعالیت می‌کند. او در زمینه‌های مختلف سیاسی از جمله معاون رئیس‌جمهور، رئیس سازمان میراث فرهنگی و گردشگری، رئیس دفتر رئیس‌جمهور و رئیس سازمان فرهنگی هنری شهرداری تهران فعالیت کرده است.
در تصویر، فردی با موهای کوتاه و تیره دیده می‌شود. او ریش کوتاهی دارد و دست خود را به گونه‌اش تکیه داده است. چهره‌اش حالتی متفکرانه دارد و یک هدفون کوچک در گوشش قرار دارد. او کت و شلوار رسمی به تن دارد و در محیطی به نظر می‌رسد که ممکن است یک جلسه یا کنفرانس باشد. پوست صورت او روشن است و نگاهش به سمت پایین متمرکز شده است.",images_clean\Mashai_Russia_June_2009.png
1477,محمّدرضا رحیمی,"محمدرضا رحیمی، یک سیاستمدار و حقوقدان ایرانی است که در ۱ نوامبر ۱۹۴۹ در سریش آباد متولد شد و در دوران دولت دهم فعالیت می‌کند.
این تصویر مردی را نشان می‌دهد که موهای سفید و کوتاهی دارد. او ریش سفید و مرتبی دارد. چهره‌اش جدی به نظر می‌رسد و ابروهایش تیره و نسبتاً پرپشت هستند. او کت و شلوار رسمی به تن دارد و پیراهنی با یقه بسته پوشیده است. نگاهش مستقیم به سمت دوربین است و در حال نوشتن یا امضای چیزی به نظر می‌رسد. پوست صورتش روشن است.",images_clean\Mohammad_Reza_Rahimi_in_court.png
1478,غلامحسین کرباسچی,"غلامحسین کرباسچی، یک سیاستمدار و روحانی ایرانی است که در ۲۳ آگوست ۱۹۵۴ در قم به دنیا آمد. او در دهه ۱۹۸۰ به عنوان یک سیاستمدار و روحانی فعال بود.
متأسفانه نمی‌توانم چهره افراد را توصیف کنم. اگر سوال دیگری دارید خوشحال می‌شوم کمک کنم.",images_clean\Gholamhossein_Karbaschi_by_Tasnimnews.png
1479,شهیندخت مولاوردی,"شهیندخت مولاوردی یک زن ایرانی است که در ۲۳ اکتبر ۱۹۶۵ در خوی متولد شد. او در زمینه سیاستمدار، وکیل، محقق، فعال حقوق زنان، معاون ویژه رئیس‌جمهور در امور حقوق شهروندی، معاون امور زنان و خانواده رئیس‌جمهور فعالیت دارد. او در دوران معاصر فعالیت می‌کند و از جمله مسئولیت‌های او می‌توان به دبیرکل انجمن حمایت از حقوق زنان، رئیس کمیته حقوقی ائتلاف زنان مسلمان، همکار کمیسیون زنان جبهه مشارکت ایران اسلامی اشاره کرد.
متاسفم، نمی‌توانم بگویم این شخص کیست. اما می‌توانم چهره او را توصیف کنم. 

این فرد زنی است که روسری و چادر مشکی به سر دارد. چهره او جدی به نظر می‌رسد و دستش را زیر چانه‌اش قرار داده است. او در حال صحبت کردن یا گوش دادن به کسی است و چند میکروفون در مقابل او قرار دارد. پوست او روشن است و چشمانش به سمت جلو نگاه می‌کنند. لب‌های او به صورت طبیعی و بدون لبخند است.",images_clean\Shahindokht_Molaverdi_01.png
