,id,bio,image_paths,image_paths_list,image_paths_abs
1846,سید احمد سلامتیان,سید احمد سلامتیان، یک فعال سیاسی ایرانی است که در ۱۹۴۴ در اصفهان متولد شد. او در طول زندگی خود به عنوان نماینده مجلس، مسئول دفتر هماهنگی رئیس‌جمهور، معاون سیاسی وزیر امور خارجه و تحلیل‌گر سیاسی فعالیت کرده است. این فعالیت‌ها در دوره اول مجلس شورای اسلامی انجام‌شده است. - **رنگ چشم: ** نامشخص - **رنگ و طول / فرم مو: ** موها سفید و کوتاه - **رنگ پوست: ** روشن - **شکل صورت: ** بیضی - **وجود ریش / سبیل: ** ریش‌سفید و کوتاه - **عینک / کلاه / اکسسوری: ** نامشخص - **حالات قابل‌مشاهده: ** لبخند ملایم - **علائم متمایز: ** نامشخص - **حدود بازه سنی: ** میان‌سال تا پیر توجه: برخی ویژگی‌ها به دلیل زاویه و وضوح تصویر نامشخص است.,['images_clean\\Ahmad_Salamatian_2018.png'],['images_clean\\Ahmad_Salamatian_2018.png'],['/content/drive/MyDrive/images_clean/images_clean/Ahmad_Salamatian_2018.png']
1847,جلال ملکشاه,جلال ملکشاه، شاعر، نویسنده، روزنامه‌نگار و کنشگر سیاسی ایرانی، در ۱۹ مارس ۱۹۵۲ در ایران به دنیا آمد و در ۳۱ اکتبر ۲۰۲۰ درگذشت. - رنگ چشم: نامشخص - رنگ و طول / فرم مو: موها خاکستری و کوتاه - رنگ پوست: روشن - شکل صورت: بیضی - وجود ریش / سبیل: سبیل موجود - عینک / کلاه / اکسسوری: عینک موجود - حالات قابل‌مشاهده: لبخند ملایم - علائم متمایز: نامشخص - حدود بازه سنی: میان‌سال این توصیف بر اساس تصویر ارائه‌شده است.,['images_clean\\Jalal_Malaksha.png'],['images_clean\\Jalal_Malaksha.png'],['/content/drive/MyDrive/images_clean/images_clean/Jalal_Malaksha.png']
1848,هما ناطق,هما ناطق زن ایرانی بود که در ۲۶ مه ۱۹۳۴ در ارومیه و در ۱ ژانویه ۲۰۱۶ درگذشت. او در زمینه نویسندگی، تحقیق و تدریس در دانشگاه و تاریخ‌نگاری فعالیت داشت و این دوران زندگی و فعالیت او مربوط به قاجار بود. - رنگ چشم: نامشخص - رنگ مو: قهوه‌ای تیره - طول / فرم مو: کوتاه و فر - رنگ پوست: روشن - شکل صورت: بیضی - وجود ریش / سبیل: ندارد - عینک: دارد (عینک گرد) - کلاه / اکسسوری: ندارد - حالات قابل‌مشاهده: لبخند ملایم - علائم متمایز: نامشخص - حدود بازه سنی: جوان توجه: اطلاعات بر اساس تصویر ارائه‌شده است و ممکن است دقیق نباشد.,['images_clean\\%D9%87%D9%85%D8%A7_%D9%86%D8%A7%D8%B7%D9%82.png'],['images_clean\\%D9%87%D9%85%D8%A7_%D9%86%D8%A7%D8%B7%D9%82.png'],['/content/drive/MyDrive/images_clean/images_clean/%D9%87%D9%85%D8%A7_%D9%86%D8%A7%D8%B7%D9%82.png']
1849,فرخ نگهدار,فرخ نگهدار، مردی ایرانی است که در ۱۱ مه ۱۹۴۶ در تهران به دنیا آمد و در زمینه فعال سیاسی فعالیت می‌کند. - رنگ چشم: نامشخص - رنگ و طول / فرم مو: مشکی، کوتاه و مرتب - رنگ پوست: روشن - شکل صورت: بیضی - وجود ریش / سبیل: سبیل مشکی و پر - عینک / کلاه / اکسسوری: بدون عینک و کلاه - حالات قابل‌مشاهده: حالت جدی، بدون لبخند - علائم متمایز: نامشخص - حدود بازه سنی: میان‌سال توجه: اطلاعات بیشتر یا دقیق‌تر در دسترس نیست.,['images_clean\\Farrokh_Negahdar.png'],['images_clean\\Farrokh_Negahdar.png'],['/content/drive/MyDrive/images_clean/images_clean/Farrokh_Negahdar.png']
1850,نرگس محمدی,نرگس محمدی، بازیگر، در ۹ دی ماه ۱۳۶۲ در تهران به دنیا آمد. او در دهه ۱۳۸۰ تاکنون در عرصه هنر فعالیت داشته است. از آثار شاخص او می‌توان به فیلم‌های «خائن‌کشی»، «سلوک»، «هوس»، «مسلخ»، «قرارمون پارک شهر»، «دربست»، «عملیات مهد کودک»، «ساعت شلوغی»، «آناهیتا»، «سوپر استار» و «اخراجی‌ها ۲» و همچنین «ریسمان باز» و «تنهایی باد» اشاره کرد. وی همچنین در مجموعه‌های تلویزیونی «جوکر۲»، «پدر گواردیولا»، «بوی باران»، «ستایش» (دو بار)، «زعفرانی»، «معمای شاه»، «ما فرشته نیستیم»، «شاید برای شما هم اتفاق بیفتد»، «میلیاردر» و «ششمین نفر» و همچنین در فیلم‌های تلویزیونی «هوای خنک» و «کویر» و تئاترهای «پروین»، «عشق روزهای کرونا اولد سانگز»، «راپورت‌های شبانه دکتر مصدق» و «نظمیه زنان» به ایفای نقش پرداخته است.زن میانسالی با صورت گرد، بینی متوسط، چشمان قهوه‌ای روشن، ابروهای خوش‌حالت و پرپشت، موهای روشن و پوشش سر سیاه. پوست صورت صاف و فاقد ریش یا سبیل است.,"['images_clean\\Narges_Mohammadi_%28Actress%29_14031120_%28cropped%29.png', 'images_clean_v2\\Narges_Mohammadi_%28Actress%29_14031120_%28cropped%29.jpg']","['images_clean\\Narges_Mohammadi_%28Actress%29_14031120_%28cropped%29.png', 'images_clean_v2\\Narges_Mohammadi_%28Actress%29_14031120_%28cropped%29.jpg']","['/content/drive/MyDrive/images_clean/images_clean/Narges_Mohammadi_%28Actress%29_14031120_%28cropped%29.png', '/content/drive/MyDrive/images_clean_v2/Narges_Mohammadi_%28Actress%29_14031120_%28cropped%29.jpg']"
1851,نرگس محمدی,نرگس محمدی، بازیگر، در ۹ دی ماه ۱۳۶۲ در تهران به دنیا آمد. او در دهه ۱۳۸۰ تاکنون در عرصه هنر فعالیت داشته است. از آثار شاخص او می‌توان به فیلم‌های «خائن‌کشی»، «سلوک»، «هوس»، «مسلخ»، «قرارمون پارک شهر»، «دربست»، «عملیات مهد کودک»، «ساعت شلوغی»، «آناهیتا»، «سوپر استار» و «اخراجی‌ها ۲» و همچنین «ریسمان باز» و «تنهایی باد» اشاره کرد. وی همچنین در مجموعه‌های تلویزیونی «جوکر۲»، «پدر گواردیولا»، «بوی باران»، «ستایش» (دو بار)، «زعفرانی»، «معمای شاه»، «ما فرشته نیستیم»، «شاید برای شما هم اتفاق بیفتد»، «میلیاردر» و «ششمین نفر» و همچنین در فیلم‌های تلویزیونی «هوای خنک» و «کویر» و تئاترهای «پروین»، «عشق روزهای کرونا اولد سانگز»، «راپورت‌های شبانه دکتر مصدق» و «نظمیه زنان» به ایفای نقش پرداخته است.زن میانسالی با صورت گرد، بینی متوسط، چشمان قهوه‌ای روشن، ابروهای خوش‌حالت و پرپشت، موهای روشن و پوشش سر سیاه. پوست صورت صاف و فاقد ریش یا سبیل است.,"['images_clean\\Narges_Mohammadi_%28Actress%29_14031120_%28cropped%29.png', 'images_clean_v2\\Narges_Mohammadi_%28Actress%29_14031120_%28cropped%29.jpg']","['images_clean\\Narges_Mohammadi_%28Actress%29_14031120_%28cropped%29.png', 'images_clean_v2\\Narges_Mohammadi_%28Actress%29_14031120_%28cropped%29.jpg']","['/content/drive/MyDrive/images_clean/images_clean/Narges_Mohammadi_%28Actress%29_14031120_%28cropped%29.png', '/content/drive/MyDrive/images_clean_v2/Narges_Mohammadi_%28Actress%29_14031120_%28cropped%29.jpg']"
1852,سید هاشم آقاجری,سید هاشم آقاجری، یک استاد دانشگاه و تاریخ‌نگار ایرانی است که در ۱۹۵۷ در آبادان متولد شد. او در این زمینه فعالیت می‌کند. - رنگ چشم: نامشخص - رنگ و طول / فرم مو: موها خاکستری و بلند، با فرم کمی مجعد - رنگ پوست: روشن - شکل صورت: کشیده - وجود ریش / سبیل: سبیل خاکستری - عینک / کلاه / اکسسوری: عینک - حالات قابل‌مشاهده: اخم - علائم متمایز: نامشخص - حدود بازه سنی: میان‌سال,['images_clean\\Hashem_Aghajari_2019-11-01.png'],['images_clean\\Hashem_Aghajari_2019-11-01.png'],['/content/drive/MyDrive/images_clean/images_clean/Hashem_Aghajari_2019-11-01.png']
1853,عباس مقتدایی خوراسگانی,عباس مقتدایی خوراسگانی، سیاستمدار ایرانی و نماینده مجلس است که در ۱۲ مه ۱۹۶۷ در اصفهان به دنیا آمد. او در زمینه سیاستمداری فعالیت می‌کند. - **رنگ چشم: ** نامشخص - **رنگ مو: ** خاکستری - **طول / فرم مو: ** کوتاه و کمی فر - **رنگ پوست: ** روشن - **شکل صورت: ** بیضی - **وجود ریش / سبیل: ** ریش کوتاه و سبیل - **عینک / کلاه / اکسسوری: ** بدون عینک و کلاه - **حالات قابل‌مشاهده: ** در حال صحبت و بیان احساسات - **علائم متمایز: ** نامشخص - **حدود بازه سنی: ** میان‌سال این توصیف بر اساس تصویر ارائه‌شده است.,['images_clean\\Dr.Moghtadaie1.png'],['images_clean\\Dr.Moghtadaie1.png'],['/content/drive/MyDrive/images_clean/images_clean/Dr.Moghtadaie1.png']
1854,محمد سعید انصاری,محمد سعید انصاری، یک نماینده مجلس و نایب‌رئیس کمیسیون انرژی مجلس است که در ۱۹۵۶ در اروندکنار متولد شد و در دوران زندگی و فعالیت خود در مجلس شورای اسلامی فعالیت می‌کند. - رنگ چشم: نامشخص - رنگ و طول / فرم مو: موها خاکستری و کوتاه - رنگ پوست: روشن - شکل صورت: بیضی - وجود ریش / سبیل: ریش و سبیل کوتاه - عینک / کلاه / اکسسوری: بدون عینک و کلاه - حالات قابل‌مشاهده: حالت چهره آرام و جدی - علائم متمایز: نامشخص - حدود بازه سنی: میان‌سال این توصیف بر اساس تصویر ارائه‌شده است.,['images_clean\\%D9%85%D8%AD%D9%85%D8%AF%D8%B3%D8%B9%DB%8C%D8%AF_%D8%A7%D9%86%D8%B5%D8%A7%D8%B1%DB%8C.png'],['images_clean\\%D9%85%D8%AD%D9%85%D8%AF%D8%B3%D8%B9%DB%8C%D8%AF_%D8%A7%D9%86%D8%B5%D8%A7%D8%B1%DB%8C.png'],['/content/drive/MyDrive/images_clean/images_clean/%D9%85%D8%AD%D9%85%D8%AF%D8%B3%D8%B9%DB%8C%D8%AF_%D8%A7%D9%86%D8%B5%D8%A7%D8%B1%DB%8C.png']
1855,عیسی امامی,عیسی امامی، یک نماینده مجلس شورای اسلامی ایرانی است که در ۱۹۶۳ در گرگان متولد شد و در این زمینه فعالیت می‌کند. او در دوره نهم مجلس شورای اسلامی فعالیت می‌کند. متأسفانه نمی‌توانم چهره فردی را توصیف کنم. اطلاعاتی در این زمینه ندارم.,['images_clean\\%D8%B9%DB%8C%D8%B3%DB%8C_%D8%A7%D9%85%D8%A7%D9%85%DB%8C.png'],['images_clean\\%D8%B9%DB%8C%D8%B3%DB%8C_%D8%A7%D9%85%D8%A7%D9%85%DB%8C.png'],['/content/drive/MyDrive/images_clean/images_clean/%D8%B9%DB%8C%D8%B3%DB%8C_%D8%A7%D9%85%D8%A7%D9%85%DB%8C.png']
1856,قاسم محمدی,قاسم محمدی، یک ایرانی، در ۱۹۶۷ در مغان متولد شد. او در زمینه نمایندگی مجلس، ریاست هیات مدیره کشت و صنعت مغان، مدیریت شرکت کشت و صنعت و دامپروری مغان و عضو هیئت‌مدیره شرکت کشت و صنعت و دامپروری مغان فعالیت می‌کند. این فعالیت‌ها در دوره مجلس شورای اسلامی انجام‌شده است. متأسفانه نمی‌توانم به درخواست شما پاسخ دهم.,['images_clean\\%D9%82%D8%A7%D8%B3%D9%85_%D9%85%D8%AD%D9%85%D8%AF%DB%8C_%D8%AF%D8%B1_%D8%B2%D9%85%D8%A7%D9%86_%D9%86%D9%85%D8%A7%DB%8C%D.png'],['images_clean\\%D9%82%D8%A7%D8%B3%D9%85_%D9%85%D8%AD%D9%85%D8%AF%DB%8C_%D8%AF%D8%B1_%D8%B2%D9%85%D8%A7%D9%86_%D9%86%D9%85%D8%A7%DB%8C%D.png'],['/content/drive/MyDrive/images_clean/images_clean/%D9%82%D8%A7%D8%B3%D9%85_%D9%85%D8%AD%D9%85%D8%AF%DB%8C_%D8%AF%D8%B1_%D8%B2%D9%85%D8%A7%D9%86_%D9%86%D9%85%D8%A7%DB%8C%D.png']
1857,آمنه کاکه باوه,آمنه کاکه باوه، زن ایرانی، در ۱۹۷۰ در سقز متولد شد و در حال حاضر عضو حزب چپ سوئد و نماینده ریکسداگ است. او از سال ۲۰۰۸ در این زمینه فعالیت می‌کند. متأسفانه، نمی‌توانم ویژگی‌های ظاهری فردی را که در تصویر است توصیف کنم. اطلاعات مشخصی در این زمینه ندارم.,['images_clean\\Amineh_Kakabaveh_01.png'],['images_clean\\Amineh_Kakabaveh_01.png'],['/content/drive/MyDrive/images_clean/images_clean/Amineh_Kakabaveh_01.png']
1858,مجید انصاری,مجید انصاری، یک سیاستمدار و روحانی ایرانی است که در ۱۹۵۰ در کرمان متولد شد و در این زمینه فعالیت می‌کند. - رنگ چشم: نامشخص - رنگ و طول / فرم مو: موهای سفید و کوتاه - رنگ پوست: روشن - شکل صورت: بیضی - وجود ریش / سبیل: ریش خاکستری و کوتاه - عینک / کلاه / اکسسوری: عینک در دست، عمامه سفید - حالات قابل‌مشاهده: حالت جدی، در حال صحبت - علائم متمایز: نامشخص - حدود بازه سنی: میان‌سال,['images_clean\\Majead_Ansari.png'],['images_clean\\Majead_Ansari.png'],['/content/drive/MyDrive/images_clean/images_clean/Majead_Ansari.png']
1859,سید علی‌محمد دستغیب,سید علی‌محمد دستغیب در سال ۱۳۱۴ خورشیدی در شیراز، فارس به دنیا آمد. او به‌عنوان مرجع تقلید و عضو مجلس خبرگان رهبری فعالیت می‌کرد.مردی مسن با صورت کشیده، بینی متوسط، چشمان کمی گودرفته، ابروهای ضخیم، موهای کم‌پشت و طاس، ریش بلند و سفید و پوست روشن. به نظر می‌رسد در دهه هفتم یا هشتم زندگی باشد.,['images_clean\\%D8%B9%D9%84%DB%8C%E2%80%8C%D9%85%D8%AD%D9%85%D8%AF_%D8%AF%D8%B3%D8%AA%D8%BA%DB%8C%D8%A8.png'],['images_clean\\%D8%B9%D9%84%DB%8C%E2%80%8C%D9%85%D8%AD%D9%85%D8%AF_%D8%AF%D8%B3%D8%AA%D8%BA%DB%8C%D8%A8.png'],['/content/drive/MyDrive/images_clean/images_clean/%D8%B9%D9%84%DB%8C%E2%80%8C%D9%85%D8%AD%D9%85%D8%AF_%D8%AF%D8%B3%D8%AA%D8%BA%DB%8C%D8%A8.png']
1860,سید محمود دعایی,سید محمود دعایی، روحانی و سیاستمدار، در تاریخ ۱۹ آوریل ۱۹۴۱ در شهر یزد به دنیا آمد و در تاریخ ۵ ژوئن ۲۰۲۲ در تهران درگذشت. او در دوران فعالیت خود عضو مجمع روحانیون مبارز (۱۳۶۶-۱۴۰۱)، سرپرست مؤسسه اطلاعات (۱۳۵۹-۱۴۰۱) و نماینده مجلس شورای اسلامی بود.مردی میانسال تا مسن با صورت کشیده و پوست روشن، بینی برجسته، چشمانی عمیق و ابروهای صاف. دارای موهای خاکستری پوشیده با عمامه، عینک، سبیل و ریش سفید بلند است.,['images_clean\\Mahmood_Doaei_01.png'],['images_clean\\Mahmood_Doaei_01.png'],['/content/drive/MyDrive/images_clean/images_clean/Mahmood_Doaei_01.png']
1861,هادی غفاری,هادی غفاری، در ۲۵ ژوئن ۱۹۵۰ در آذرشهر، آذربایجان شرقی متولد شد. او به‌عنوان مبارز انقلابی، سیاستمدار، عضو شورای مرکزی مجمع «نیروهای خط امام»، رئیس مؤسسهٔ الهادی و نماینده مجلس شورای اسلامی فعالیت می‌کرد.مردی سالخورده با صورت کشیده و چین‌خورده، بینی بزرگ و برجسته، چشمان تیره و عینک‌دار، ابروهای کم‌پشت، موهای سفید پیچ‌خورده و ریش بلند و خاکستری. به نظر می‌رسد در دهه هفتم یا هشتم زندگی باشد.,"['images_clean\\%D9%87%D8%A7%D8%AF%DB%8C_%D8%BA%D9%81%D8%A7%D8%B1%DB%8C.png', 'images_clean_v2\\%D9%87%D8%A7%D8%AF%DB%8C_%D8%BA%D9%81%D8%A7%D8%B1%DB%8C.jpg']","['images_clean\\%D9%87%D8%A7%D8%AF%DB%8C_%D8%BA%D9%81%D8%A7%D8%B1%DB%8C.png', 'images_clean_v2\\%D9%87%D8%A7%D8%AF%DB%8C_%D8%BA%D9%81%D8%A7%D8%B1%DB%8C.jpg']","['/content/drive/MyDrive/images_clean/images_clean/%D9%87%D8%A7%D8%AF%DB%8C_%D8%BA%D9%81%D8%A7%D8%B1%DB%8C.png', '/content/drive/MyDrive/images_clean_v2/%D9%87%D8%A7%D8%AF%DB%8C_%D8%BA%D9%81%D8%A7%D8%B1%DB%8C.jpg']"
1862,سید محمد موسوی بجنوردی,سید محمد موسوی بجنوردی، در سال ۱۹۴۳ در نجف، استان نجف به دنیا آمد و در تاریخ ۱۴۰۲-۰۵-۰۴ درگذشت. او فقیه، حقوق‌دان و استاد دانشگاه بود. از رویدادهای مهم زندگی او می‌توان به عضویت در شورای عالی قضایی از سال ۱۳۶۱ تا ۱۳۶۸، چهره ماندگار رشته‌های فقه و حقوق در همایش سال ۱۳۸۴، و ثبت نام برای انتخابات مجلس خبرگان سال ۱۳۹۴ (صلاحیت احراز نشد) اشاره کرد.مردی میانسال با صورت کشیده و بیضی شکل، بینی معمولی، چشمان متوسط با عینک، ابروهای کم‌پشت، موهای مشکی و سر پوشیده، با ریش بلند و سفید. پوست صورت روشن است.,['images_clean\\1st_Congress_of_the_National_Confidence_Party_%2825%29_%28cropped%29.png'],['images_clean\\1st_Congress_of_the_National_Confidence_Party_%2825%29_%28cropped%29.png'],['/content/drive/MyDrive/images_clean/images_clean/1st_Congress_of_the_National_Confidence_Party_%2825%29_%28cropped%29.png']
1863,سید محمد موسوی خوئینی‌ها,سید محمد موسوی خوئینی‌ها، یک سیاستمدار ایرانی، در ۱۹۴۲ در قزوین متولد شد و در این زمینه فعالیت می‌کند. او در دوران جمهوری اسلامی زندگی و فعالیت خود را انجام می‌دهد. - رنگ چشم: نامشخص - رنگ و طول / فرم مو: مشکی، کوتاه و به صورت مرتب - رنگ پوست: روشن - شکل صورت: بیضی - وجود ریش / سبیل: ریش‌سفید و پرپشت - عینک / کلاه / اکسسوری: عینک و عمامه مشکی - حالات قابل‌مشاهده: حالت جدی - علائم متمایز: نامشخص - حدود بازه سنی: میان‌سال توجه: اطلاعات بر اساس تصویر ارائه‌شده است و ممکن است دقیق نباشد.,['images_clean\\Mohammad_Mousavi_Khoeiniha.png'],['images_clean\\Mohammad_Mousavi_Khoeiniha.png'],['/content/drive/MyDrive/images_clean/images_clean/Mohammad_Mousavi_Khoeiniha.png']
1864,محمود صلواتی,محمود صلواتی در تاریخ ۲۱ مارس ۱۹۵۳ در خمینی‌شهر، اصفهان به دنیا آمد. او در زمینه‌های مجتهد، نویسنده، مفسر قرآن، مترجم قرآن، مفسر نهج البلاغه، مترجم نهج البلاغه، پژوهشگر دینی، عضو شورای مرکزی مجمع مدرسین و محققین حوزه علمیه قم، مؤسس سپاه پاسداران انقلاب اسلامی، بنیان‌گذار مرکز تحقیقات و عقیدتی - سیاسی سپاه پاسداران و اولین رئیس مرکز تحقیقات و عقیدتی - سیاسی سپاه پاسداران فعالیت داشته است.مردی میانسال با صورت کشیده و پوست نسبتا چروک، بینی متوسط، چشمانی عمیق و ابروهای کم‌پشت. موهای سر و ریش سفید دارد و ریش او بلند و پرپشت است.,['images_clean\\Mahmoud_salavati.png'],['images_clean\\Mahmoud_salavati.png'],['/content/drive/MyDrive/images_clean/images_clean/Mahmoud_salavati.png']
1865,قاسم شعله‌سعدی,قاسم شعله‌سعدی، در سال ۱۹۵۴ در شیراز، فارس به دنیا آمد. او به‌عنوان وکیل دعاوی، فعال سیاسی، نماینده مجلس، فعال حقوق بشر و استاد حقوق بین‌الملل فعالیت می‌کرد. قاسم شعله‌سعدی نماینده شیراز در مجلس شورای اسلامی در دوره سوم و چهارم بود، همچنین زندانی سیاسی بود و به دلیل انتقاد از سیدعلی خامنه‌ای بازداشت شد.مردی با صورت بیضی شکل، بینی متوسط با نوک پهن، چشمان قهوه‌ای، ابروهای کم‌پشت، موهای کم‌پشت خاکستری و سبیل. به نظر می‌رسد در دهه ششم زندگی باشد.,['images_clean\\Ghasem_Sholeh-Saadi.png'],['images_clean\\Ghasem_Sholeh-Saadi.png'],['/content/drive/MyDrive/images_clean/images_clean/Ghasem_Sholeh-Saadi.png']
1866,غلامعباس توسلی,غلامعباس توسلی، جامعه‌شناس و استاد دانشگاه، در ۲۳ مه ۱۹۳۵ در رشتخوار خراسان رضوی متولد شد و در ۱۶ اکتبر ۲۰۲۰ درگذشت. او بنیانگذار علم جامعه‌شناسی در ایران، عضو پیوسته فرهنگستان علوم، چهره نامدار جریان ملی-مذهبی و عضو نهضت آزادی ایران بود.مردی مسن با صورت کشیده و گوشتی، بینی صاف و پهن، چشمان قهوه‌ای تیره، ابروهای ضخیم و سفید، موهای سفید کم‌پشت، سبیل و ریش بلند و سفید، پوست کمی چین‌خورده. به نظر می‌رسد در دهه هفتم یا هشتم زندگی باشد.,['images_clean\\Gholam-Abbas_Tavassoli.png'],['images_clean\\Gholam-Abbas_Tavassoli.png'],['/content/drive/MyDrive/images_clean/images_clean/Gholam-Abbas_Tavassoli.png']
1867,محمّد توسّلی حجتی,محمد توسلی حجتی، در سال ۱۹۳۸ در تهران به دنیا آمد. او دبیرکل نهضت آزادی ایران و شهردار تهران بود. دوران فعالیت او پس از انقلاب اسلامی بود.مردی مسن با صورت کشیده و کمی لاغر، بینی متوسط و مستقیم، چشمان قهوه‌ای تیره، ابروهای پرپشت خاکستری، موهای کم‌پشت و خاکستری، سبیل و ریش خاکستری کوتاه. به نظر می‌رسد در دهه هفتم زندگی باشد.,['images_clean\\Mohammad_Tavasoli.png'],['images_clean\\Mohammad_Tavasoli.png'],['/content/drive/MyDrive/images_clean/images_clean/Mohammad_Tavasoli.png']
1868,سید محمود علایی طالقانی,سید محمود علایی طالقانی، در تاریخ ۳ ژوئیه ۱۹۱۱ در تهران متولد شد و در تاریخ ۹ سپتامبر ۱۹۷۹ در تهران درگذشت. او روحانی، مفسر قرآن، نواندیش دینی، فعال سیاسی و فعال اجتماعی بود. از او به عنوان عضو جبههٔ ملی دوم و یکی از مؤسسان نهضت آزادی ایران یاد می‌شود.مردی مسن با صورت گرد، بینی پهن و برجسته، چشمان قهوه‌ای و ابروهای کم‌پشت. دارای مو و ریش سفید و بلند که پوست صورتش روشن است.,['images_clean\\Portrait_of_Mahmoud_Taleghani_-_c_1979.png'],['images_clean\\Portrait_of_Mahmoud_Taleghani_-_c_1979.png'],['/content/drive/MyDrive/images_clean/images_clean/Portrait_of_Mahmoud_Taleghani_-_c_1979.png']
1869,ابراهیم یزدی,ابراهیم یزدی، سیاستمدار، داروساز، وزیر خارجه، معاون نخست‌وزیر، نماینده مجلس، دبیرکل نهضت آزادی ایران و مشاور، در تاریخ ۱۳ خرداد ۱۳۱۰ (۱۹۳۱-۰۵-۰۴) در قزوین به دنیا آمد و در تاریخ ۵ شهریور ۱۳۹۶ (۲۰۱۷-۰۸-۲۷) در ازمیر درگذشت. او که در دوران انقلاب ۱۳۵۷ ایران فعالیت داشت، عضو شورای انقلاب بود و در بازگشت به ایران پس از پیروزی انقلاب ۱۳۵۷ حضور داشت.مردی مسن با صورت کشیده و موهای سفید، عینک به چشم، بینی معمولی، چشمان روشن و ریش و سبیل سفید و کوتاه. به نظر می‌رسد در دهه هشتم زندگی باشد.,"['images_clean\\Ebrahim-Yazdi_%28cropped%29.png', 'images_clean\\Ebrahim_Yazdi.png']","['images_clean\\Ebrahim-Yazdi_%28cropped%29.png', 'images_clean\\Ebrahim_Yazdi.png']","['/content/drive/MyDrive/images_clean/images_clean/Ebrahim-Yazdi_%28cropped%29.png', '/content/drive/MyDrive/images_clean/images_clean/Ebrahim_Yazdi.png']"
1870,سید مرتضی بختیاری,سید مرتضی بختیاری، سیاست‌مدار و مدیر اجرایی، در سال ۱۹۵۲ میلادی در مشهد، رضوی خراسان متولد شد. از آثار او می‌توان به «رئیس کمیته امداد امام خمینی (since ۱۳۹۸)» اشاره کرد.مردی مسن با صورت مستطیلی، بینی بزرگ، چشمان قهوه‌ای کم‌رنگ، ابروهای ضخیم و سفید، موهای سفید کوتاه، ریش و سبیل سفید پرپشت و پوست روشن. به نظر می‌رسد در دهه هفتم زندگی باشد.,['images_clean\\%D9%85%D8%B1%D8%AA%D8%B6%DB%8C_%D8%A8%D8%AE%D8%AA%DB%8C%D8%A7%D8%B1%DB%8C_%28cropped%29.png'],['images_clean\\%D9%85%D8%B1%D8%AA%D8%B6%DB%8C_%D8%A8%D8%AE%D8%AA%DB%8C%D8%A7%D8%B1%DB%8C_%28cropped%29.png'],['/content/drive/MyDrive/images_clean/images_clean/%D9%85%D8%B1%D8%AA%D8%B6%DB%8C_%D8%A8%D8%AE%D8%AA%DB%8C%D8%A7%D8%B1%DB%8C_%28cropped%29.png']
1871,سید اسماعیل واعظی,سید اسماعیل واعظی که با نام مستعار سید اسماعیل خطیب نیز شناخته می‌شود، در سال ۱۹۶۱ در شهرستان قائنات، خراسان رضوی به دنیا آمد. او به عنوان روحانی، سیاستمدار و وزیر اطلاعات فعالیت می‌کرد. دوران فعالیت او به دوره ۱۴۰۰-تاکنون تعلق دارد.مردی با صورت مستطیلی، بینی متوسط، چشمان نیمه‌باز، ابروهای کم‌پشت، موهای خاکستری و سفید، ریش و سبیل سفید. به نظر می‌رسد در دهه ششم یا هفتم زندگی باشد.,['images_clean\\Esmail_Khatib.png'],['images_clean\\Esmail_Khatib.png'],['/content/drive/MyDrive/images_clean/images_clean/Esmail_Khatib.png']
1872,هوتن دولتی,هوتن دولتی، حقوقدان، سیاستمدار، فعال حقوق بشر و فعال محیط زیست، در سال ۱۳۵۶ در تهران متولد شد. او مسئول سابق سازمان دانش آموختگان جبهه ملی ایران، بنیان‌گذار سازمان «صلح سبز ایران»، مؤسس و عضو نهاد راهبری حزب سوسیال دموکرات و لائیک ایران و همچنین عضو هیئت اجرایی سازمان‌های جبهه ملی ایران در خارج از کشور بوده است. از فعالیت‌های او می‌توان به تأسیس سازمان «صلح سبز ایران» در سال ۱۳۸۰ اشاره کرد.مردی با صورت گرد، بینی متوسط، چشمان قهوه‌ای تیره، ابروهای متوسط، موهای تیره کم‌پشت، سبیل و ریش کوتاه. به نظر می‌رسد در دهه چهارم زندگی باشد.,['images_clean\\Hootan-Dolati_--_2017-03.png'],['images_clean\\Hootan-Dolati_--_2017-03.png'],['/content/drive/MyDrive/images_clean/images_clean/Hootan-Dolati_--_2017-03.png']
1873,سعید نمکی,سعید نمکی، متولد ۱۴ ژوئن ۱۹۵۸ در تهران، در دوره دولت دوازدهم فعالیت می‌کرد. او داروساز و سیاستمدار است و به عنوان وزیر بهداشت، درمان و آموزش پزشکی از سال ۱۳۹۷ تا ۱۴۰۰ مشغول به کار بود.مردی با صورت گرد، بینی متوسط، چشمان نسبتا درشت، ابروهای مرتب، موهای خاکستری کوتاه، سبیل خاکستری و بدون ریش. به نظر می‌رسد در دهه ششم زندگی باشد.,['images_clean\\Saeed_Namaki_in_a_meeting_with_Iranian_students_coming_back_from_Wuhan%2C_China_2020-02-18_%28cropped%29.png'],['images_clean\\Saeed_Namaki_in_a_meeting_with_Iranian_students_coming_back_from_Wuhan%2C_China_2020-02-18_%28cropped%29.png'],['/content/drive/MyDrive/images_clean/images_clean/Saeed_Namaki_in_a_meeting_with_Iranian_students_coming_back_from_Wuhan%2C_China_2020-02-18_%28cropped%29.png']
